meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T20:45:07+00:00,18.0,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:45:06
1285,11291,2026-05-24T20:46:58+00:00,18.0,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:46:58
1285,11291,2026-05-24T20:47:02+00:00,,30,Other,,,,,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 12 (ANT) AND 63 (RUS) REVIEWED NO FURTHER INVESTIGATION (16:40:28)
1285,11291,2026-05-24T20:47:11+00:00,18.0,30,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:47:11
1285,11291,2026-05-24T20:47:20+00:00,18.0,30,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:47:19
1285,11291,2026-05-24T20:47:47+00:00,31.0,30,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:47:46
1285,11291,2026-05-24T20:47:50+00:00,,30,Other,,,,,CAR 63 (RUS) TIME 1:16.828 DELETED - TRACK LIMITS AT TURN 14 LAP 24 16:40:29
1285,11291,2026-05-24T20:47:54+00:00,,30,Flag,DOUBLE YELLOW,Sector,10.0,,DOUBLE YELLOW IN TRACK SECTOR 10
1285,11291,2026-05-24T20:47:57+00:00,,30,Flag,YELLOW,Sector,9.0,,YELLOW IN TRACK SECTOR 9
1285,11291,2026-05-24T20:48:25+00:00,,31,SafetyCar,,,,,VSC DEPLOYED
1285,11291,2026-05-24T20:49:47+00:00,,31,Other,,,,,MARSHALS ON TRACK AT TURN 9
1285,11291,2026-05-24T20:51:33+00:00,,32,SafetyCar,,,,,VSC ENDING
1285,11291,2026-05-24T20:51:33+00:00,,32,Flag,CLEAR,Sector,10.0,,CLEAR IN TRACK SECTOR 10
1285,11291,2026-05-24T20:51:36+00:00,,32,Flag,CLEAR,Sector,9.0,,CLEAR IN TRACK SECTOR 9
1285,11291,2026-05-24T20:51:38+00:00,,32,Flag,CLEAR,Sector,10.0,,CLEAR IN TRACK SECTOR 10
1285,11291,2026-05-24T20:51:45+00:00,,32,Flag,CLEAR,Track,,,TRACK CLEAR
1285,11291,2026-05-24T20:51:45+00:00,11.0,32,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:51:45
1285,11291,2026-05-24T20:51:45+00:00,81.0,32,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:51:45
1285,11291,2026-05-24T20:51:47+00:00,,32,Other,,,,,OVERTAKE ENABLED
1285,11291,2026-05-24T20:52:00+00:00,,33,Other,,,,,CAR 5 (BOR) TIME 1:44.804 DELETED - TRACK LIMITS AT TURN 14 LAP 30 16:50:47
1285,11291,2026-05-24T20:52:31+00:00,31.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:52:30
1285,11291,2026-05-24T20:52:55+00:00,87.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:52:55
1285,11291,2026-05-24T20:53:12+00:00,87.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:53:12
1285,11291,2026-05-24T20:53:14+00:00,,33,Other,,,,,INCIDENT INVOLVING CAR 63 (RUS) NOTED (16:47:47)
1285,11291,2026-05-24T20:53:23+00:00,87.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:53:23
1285,11291,2026-05-24T20:53:27+00:00,,34,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE RACE (16:47:47)
1285,11291,2026-05-24T20:53:31+00:00,18.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:53:30
