race_analysis_id,driver,team,lap_number,race_phase,compound,stint_number,lap_time_s,normalized_pace_delta_s,field_rank_on_lap,rolling_pace_delta_s,tyre_age,fuel_corrected_delta_s,weather_adjusted_flag,pace_confidence
2024-01-bahrain,GAS,Alpine,39,middle,HARD,3,96.537,0.671,14,0.524,8,2.036,False,0.72
2024-01-bahrain,GAS,Alpine,40,middle,HARD,3,96.742,0.575,16,0.601,9,1.975,False,0.72
2024-01-bahrain,GAS,Alpine,41,middle,HARD,3,96.571,0.539,15,0.595,10,1.974,False,0.72
2024-01-bahrain,GAS,Alpine,42,middle,HARD,3,96.631,1.061,17,0.725,11,2.531,False,0.72
2024-01-bahrain,GAS,Alpine,43,closing,HARD,3,99.291,3.863,20,1.821,12,5.368,False,0.72
2024-01-bahrain,GAS,Alpine,44,closing,SOFT,4,116.481,21.063,20,8.662,1,22.603,False,0.72
2024-01-bahrain,GAS,Alpine,45,closing,SOFT,4,94.805,-0.514,4,8.137,2,1.061,False,0.72
2024-01-bahrain,GAS,Alpine,46,closing,SOFT,4,95.293,-0.146,8,6.801,3,1.464,False,0.72
2024-01-bahrain,GAS,Alpine,47,closing,SOFT,4,95.341,-0.304,8,-0.322,4,1.341,False,0.72
2024-01-bahrain,GAS,Alpine,48,closing,SOFT,4,95.411,-0.477,7,-0.309,5,1.203,False,0.72
2024-01-bahrain,GAS,Alpine,49,closing,SOFT,4,95.511,-0.283,7,-0.355,6,1.432,False,0.72
2024-01-bahrain,GAS,Alpine,50,closing,SOFT,4,95.228,-0.594,6,-0.451,7,1.156,False,0.72
2024-01-bahrain,GAS,Alpine,51,closing,SOFT,4,95.334,-0.578,5,-0.485,8,1.207,False,0.72
2024-01-bahrain,GAS,Alpine,52,closing,SOFT,4,95.511,-0.495,7,-0.556,9,1.325,False,0.72
2024-01-bahrain,GAS,Alpine,53,closing,SOFT,4,95.389,-0.598,3,-0.557,10,1.257,False,0.72
2024-01-bahrain,GAS,Alpine,54,closing,SOFT,4,95.853,-0.207,7,-0.433,11,1.683,False,0.72
2024-01-bahrain,GAS,Alpine,55,closing,SOFT,4,95.908,-0.272,8,-0.359,12,1.653,False,0.72
2024-01-bahrain,GAS,Alpine,56,closing,SOFT,4,96.086,-0.014,9,-0.164,13,1.946,False,0.72
2024-01-bahrain,HAM,Mercedes,1,opening,SOFT,1,103.122,-0.564,9,-0.564,4,-0.529,False,0.72
2024-01-bahrain,HAM,Mercedes,2,opening,SOFT,1,98.273,-0.055,10,-0.309,5,0.015,False,0.72
2024-01-bahrain,HAM,Mercedes,3,opening,SOFT,1,98.303,-0.048,10,-0.222,6,0.057,False,0.72
2024-01-bahrain,HAM,Mercedes,4,opening,SOFT,1,98.287,-0.011,10,-0.038,7,0.129,False,0.72
2024-01-bahrain,HAM,Mercedes,5,opening,SOFT,1,98.35,-0.079,10,-0.046,8,0.096,False,0.72
2024-01-bahrain,HAM,Mercedes,6,opening,SOFT,1,98.183,-0.089,10,-0.06,9,0.121,False,0.72
2024-01-bahrain,HAM,Mercedes,7,opening,SOFT,1,97.839,-0.67,4,-0.279,10,-0.425,False,0.72
