session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,BEA,-7.0,-16.0,-0.075,0.0,0.8667,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,BOR,2.5,-6.5,-0.075,0.0,0.1334,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,BOT,-9.5,-11.0,-0.0125,0.0,0.8,0.55,BOT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,COL,3.0,4.0,0.0083,0.0,0.5334,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,GAS,0.5,1.5,0.0083,0.0,0.2667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,HAD,-10.0,-12.0,-0.0167,0.0,0.0,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,HAM,-2.0,-10.0,-0.0667,0.0,0.2667,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,HUL,-4.0,-4.0,0.0,0.0,0.4,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,LAW,-17.0,-25.0,-0.0667,0.0,0.4,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,LEC,-3.5,-7.5,-0.0333,0.0,0.4,0.55,LEC
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,LIN,-14.0,-4.5,0.0792,0.0,0.1334,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,NOR,-12.0,-7.0,0.0417,0.0,0.0,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,OCO,-1.0,-6.5,-0.0458,0.0,0.8667,0.55,OCO
