season,round,event,session,corner_id,driver,reference_driver,apex_speed_delta_kph,entry_speed_delta_kph,exit_speed_delta_kph,comparison_scope
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,LEC,ANT,5.0,24.0,4.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,HAM,ANT,5.0,13.333,-4.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,GAS,ANT,10.0,-14.0,8.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,VER,ANT,11.0,10.0,5.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,OCO,ANT,12.0,7.5,5.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,RUS,ANT,12.0,34.667,6.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,BEA,ANT,14.0,10.0,9.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,STR,ANT,15.0,42.0,2.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,COL,ANT,16.0,7.0,11.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,HAD,ANT,18.0,67.0,10.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,LAW,ANT,18.0,14.0,6.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,SAI,ANT,19.0,30.333,4.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,ALB,ANT,19.0,30.0,15.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,LIN,ANT,24.0,36.333,15.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,ALO,ANT,34.0,39.0,31.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,PER,ANT,34.0,18.333,29.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,BOT,ANT,41.0,44.333,39.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,ALB,ALB,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,STR,ALB,0.0,15.833,0.833,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,NOR,ALB,0.0,14.083,0.833,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,LEC,ALB,0.0,8.833,11.083,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,VER,ALB,1.0,-19.667,8.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,HAD,ALB,2.0,17.583,3.833,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,ALO,ALB,3.0,14.833,-0.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,COL,ALB,3.0,15.833,4.583,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,HAM,ALB,3.0,5.833,-3.417,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,SAI,ALB,4.0,21.133,-4.867,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_16,RUS,ALB,4.0,31.083,6.833,session_best
