season,round,event,session,driver,lap_number,compound,stint,segment_id,entry_speed_kph,terminal_speed_kph,acceleration_score,drs_active_pct,clipping_proxy_score,segmentation_confidence
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_09,281.333,304.667,0.1944,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_10,309.5,318.5,0.075,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_11,319.5,311.0,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_12,311.0,311.0,0.0,0.0,1.0,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_15,280.0,292.5,0.1042,0.0,0.4667,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_20,263.5,299.5,0.3,0.0,0.6,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_01,300.5,278.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_09,269.0,287.0,0.15,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_10,291.0,294.5,0.0292,0.0,0.8667,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_11,295.0,293.0,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_12,292.0,264.5,0.0,0.0,0.0667,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_15,283.0,287.0,0.0333,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,australian-grand-prix_straight_20,275.0,298.0,0.1917,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,HAM,55,HARD,,australian-grand-prix_straight_01,307.5,312.5,0.0417,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,HAM,55,HARD,,australian-grand-prix_straight_09,279.5,305.0,0.2125,0.0,0.3333,0.55
