season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,throttle_pickup_distance_m,throttle_pickup_time_s,full_throttle_exit_distance_m,traction_exit_score
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1314.76,22.32,1314.76,1.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3149.244,46.081,3149.244,0.5005
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3932.959,56.68,3932.959,0.6224
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4199.301,62.08,4199.301,0.9867
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4472.316,66.641,4472.316,0.5581
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4720.77,72.841,4779.97,1.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,355.707,4.944,403.218,0.9609
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1092.849,16.545,1259.782,1.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1323.171,22.065,1323.171,1.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3147.054,45.704,3147.054,0.647
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3941.658,56.545,3941.658,0.636
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4197.755,61.905,4197.755,0.9489
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4463.2,66.265,4463.2,0.3896
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4724.868,72.825,4809.457,1.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,363.697,5.108,393.297,0.8759
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1083.766,16.389,1259.254,0.9975
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1322.088,21.829,1322.088,1.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3148.846,45.388,3148.846,0.5914
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4099.642,59.028,4157.454,0.6715
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4209.876,61.549,4209.876,1.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4473.437,65.868,4473.437,0.5342
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4718.236,71.788,4801.018,1.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,371.762,5.336,404.595,0.9208
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1081.698,16.737,1240.156,1.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1323.844,22.336,1323.844,1.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3160.048,46.016,3160.048,0.8299
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3942.144,56.617,3942.144,0.6879
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4193.496,61.896,4193.496,0.9528
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4465.466,66.336,4465.466,0.4118
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4718.777,72.736,4776.166,1.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,362.926,4.913,406.282,0.7035
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1097.046,16.672,1267.28,0.946
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1317.858,21.753,1317.858,1.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3159.829,45.593,3159.829,0.3776
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3940.81,56.192,3940.81,0.6431
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4229.353,62.073,4229.353,1.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4462.991,65.913,4462.991,0.3562
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4719.217,72.153,4775.128,1.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,353.935,5.137,405.679,1.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1087.405,16.777,1284.349,0.916
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1321.071,22.417,1321.071,1.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3147.701,46.097,3147.701,0.4648
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4099.117,59.898,4140.272,0.638
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4197.428,62.257,4197.428,1.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4464.589,66.738,4464.589,0.5096
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4723.128,73.098,4837.458,1.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,365.929,5.375,489.484,1.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1080.851,17.615,1132.096,0.852
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1344.234,23.615,1344.234,1.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3150.444,47.295,3150.444,0.5315
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3947.117,58.615,3947.117,0.663
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4194.407,64.255,4194.407,1.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4469.107,68.976,4469.107,0.4373
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4721.983,75.736,4774.883,1.0
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,348.998,4.803,402.298,0.9681
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1085.711,16.483,1268.335,0.95
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1327.868,22.002,1327.868,0.99
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3167.021,45.883,3167.021,0.7853
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3941.595,56.203,3941.595,0.6148
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4196.199,61.562,4196.199,0.99
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4460.443,65.843,4460.443,0.4473
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4729.339,72.403,4794.149,0.99
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,364.605,5.085,418.494,0.87
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1094.547,16.606,1275.199,0.935
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1314.354,21.486,1314.354,1.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3157.322,45.005,3157.322,0.6714
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3947.271,55.406,3947.271,0.5932
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4198.125,60.646,4198.125,0.7746
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4458.072,64.805,4458.072,0.4898
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4720.294,71.286,4783.389,1.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,361.9,5.24,468.5,0.9274
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1099.823,17.6,,0.788
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1332.639,23.319,1332.639,1.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3298.001,49.96,,0.5226
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4118.714,62.92,4177.169,0.6408
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4217.292,65.2,4217.292,0.9153
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4487.535,70.2,,0.4002
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4755.256,77.52,4845.234,1.0
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,328.881,4.571,328.881,0.918
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1100.458,18.091,1275.739,0.988
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1322.761,23.531,1322.761,1.0
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3175.364,49.011,,0.297
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3962.826,60.772,3962.826,0.6868
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4219.418,66.732,4219.418,1.0
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4484.988,71.611,4484.988,0.3815
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4744.902,78.691,4803.051,1.0
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,386.528,5.399,422.183,0.7921
