season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,282.296,1.441,87.241,175.0,0.3333,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1052.991,0.999,32.487,111.0,0.1538,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4007.531,1.68,83.867,133.0,0.3333,0.2682
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4523.502,2.0,83.689,109.0,0.3182,0.2491
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,278.857,1.4,75.378,166.0,0.3158,0.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1053.871,0.68,21.889,110.0,0.1538,0.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3214.528,1.199,86.856,237.0,0.3571,0.2918
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4008.482,1.841,91.902,126.0,0.3913,0.2797
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4378.072,0.44,26.644,218.0,0.0667,0.7386
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4514.926,2.321,107.502,124.0,0.4286,0.2066
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4723.128,0.32,14.933,168.0,0.0625,0.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,273.884,1.279,66.117,164.0,0.2632,0.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1052.403,0.28,8.478,109.0,0.037,0.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3181.968,1.001,73.245,243.0,0.2,0.1293
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3978.294,1.84,86.633,128.0,0.3182,0.1383
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4496.241,2.039,80.635,105.0,0.2857,0.1106
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,269.787,0.96,60.144,199.0,0.2,0.0
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1053.092,0.52,16.244,109.0,0.08,0.0
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3212.572,0.239,16.929,255.0,0.0625,0.1933
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3991.073,1.64,88.167,133.0,0.3333,0.2065
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
