id,session_id,event_entry_id,race_id,driver_id,constructor_id,stint_number,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,session_code,source_label
2026-02-shanghai|R|max_verstappen|1,2026-02-shanghai|R,2026-02-shanghai|max_verstappen,2026-02-shanghai,max_verstappen,red_bull,1,SOFT,9,101.0841111111111,-0.2981249999999988,-0.0666666666666666,4.0,12.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|max_verstappen|2,2026-02-shanghai|R,2026-02-shanghai|max_verstappen,2026-02-shanghai,max_verstappen,red_bull,2,HARD,35,102.33351428571429,-0.469529411764705,-0.8756302521008403,1.0,35.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|1,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,1,MEDIUM,22,99.03395454545452,0.0567619047619051,-0.5731225296442689,1.0,22.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|2,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,2,HARD,23,105.07204347826084,-0.9154999999999996,-0.7381422924901185,1.0,23.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|3,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,3,SOFT,1,116.651,0.0,0.0,1.0,1.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|4,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,4,SOFT,1,117.5,0.0,0.0,2.0,2.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|5,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,5,SOFT,1,119.619,0.0,0.0,3.0,3.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|6,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,6,SOFT,1,127.219,0.0,0.0,4.0,4.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|albon|7,2026-03-suzuka|R,2026-03-suzuka|albon,2026-03-suzuka,albon,williams,7,MEDIUM,2,106.0385,-10.0,0.0,1.0,2.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|alonso|1,2026-03-suzuka|R,2026-03-suzuka|alonso,2026-03-suzuka,alonso,aston_martin,1,MEDIUM,21,99.8567142857143,0.0568000000000004,-0.1077922077922078,1.0,21.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|alonso|2,2026-03-suzuka|R,2026-03-suzuka|alonso,2026-03-suzuka,alonso,aston_martin,2,HARD,2,128.828,-10.0,0.0,1.0,2.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|alonso|3,2026-03-suzuka|R,2026-03-suzuka|alonso,2026-03-suzuka,alonso,aston_martin,3,MEDIUM,29,101.90703448275862,-0.5480714285714287,-0.5783251231527092,1.0,29.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|antonelli|1,2026-03-suzuka|R,2026-03-suzuka|antonelli,2026-03-suzuka,antonelli,mercedes,1,MEDIUM,22,96.01454545454546,0.2459047619047613,-0.3529079616036138,1.0,22.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|antonelli|2,2026-03-suzuka|R,2026-03-suzuka|antonelli,2026-03-suzuka,antonelli,mercedes,2,HARD,28,96.79842857142856,-0.3473703703703705,-0.3185550082101806,4.0,31.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|bearman|1,2026-03-suzuka|R,2026-03-suzuka|bearman,2026-03-suzuka,bearman,haas,1,MEDIUM,16,97.4599375,-0.3746,-0.0809418909344732,1.0,16.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|bearman|2,2026-03-suzuka|R,2026-03-suzuka|bearman,2026-03-suzuka,bearman,haas,2,HARD,4,101.25275,-3.4833333333333343,-1.0,1.0,4.0,R,fastf1_session_stint_v1
2026-03-suzuka|R|bortoleto|1,2026-03-suzuka|R,2026-03-suzuka|bortoleto,2026-03-suzuka,bortoleto,audi,1,MEDIUM,22,98.38045454545454,0.1378571428571426,-0.2846653601230212,1.0,22.0,R,fastf1_session_stint_v1
