session_id,season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,NOR,McLaren,2,HARD,23,89.84326086956521,0.1224090909090908,-0.1521739130434782,1,23
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,NOR,McLaren,3,MEDIUM,24,83.35058333333335,-0.2777391304347822,-0.6704347826086956,1,24
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,OCO,Haas F1 Team,1,MEDIUM,11,88.81036363636362,-0.1402999999999991,-0.3545454545454546,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,OCO,Haas F1 Team,2,HARD,46,87.82036956521738,-0.1314222222222222,-0.3518347209374036,1,46
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,PER,Cadillac,1,MEDIUM,18,94.29555555555557,0.2251176470588226,0.2694889362743874,1,18
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,PER,Cadillac,2,HARD,25,89.89304,0.0610833333333336,0.0784615384615384,1,25
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,PER,Cadillac,3,SOFT,12,87.50041666666668,-0.4059090909090912,0.0209790209790209,1,12
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,RUS,Mercedes,1,MEDIUM,12,88.90633333333334,0.1157272727272723,-0.1888111888111888,1,12
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,RUS,Mercedes,2,HARD,46,85.21576086956522,-0.3306444444444446,-0.225669175216423,1,46
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,SAI,Williams,1,SOFT,11,89.778,-0.1778000000000005,-0.4000000000000001,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,SAI,Williams,2,HARD,22,91.80086363636364,0.046238095238094,0.3178994918125353,1,22
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,SAI,Williams,3,MEDIUM,12,88.99116666666667,0.2279999999999996,0.2517482517482518,1,12
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,SAI,Williams,4,SOFT,11,86.23781818181817,-0.5534000000000006,-0.4181818181818182,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,STR,Aston Martin,1,MEDIUM,11,93.52336363636364,-0.1158999999999991,-0.4363636363636364,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,STR,Aston Martin,2,HARD,15,95.25426666666664,-1.1121428571428569,0.0428571428571428,1,15
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,STR,Aston Martin,3,SOFT,7,90.35014285714286,-1.6144999999999996,0.2142857142857143,1,7
