session_id,season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,SAI,Williams,regulations_2026_reset,1.25,55,98.06516666666666,97.981,98.99031914893617,-0.0331739130434784,349.0,15.809090909090909,23.77636363636364,54.02545454545454,False,1.8345454545454547,95.69090909090907,2.6939999999999884,14.0,0.0
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,STR,Aston Martin,regulations_2026_reset,1.25,9,101.129,100.883,100.9952,-0.0272500000000022,321.0,16.2,25.34444444444445,51.65555555555555,False,1.7222222222222223,91.55555555555556,5.757833333333338,18.0,0.6810833333333335
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,VER,Red Bull Racing,regulations_2026_reset,1.25,44,97.11716666666668,97.046,98.28933333333332,-0.0842894736842106,341.0,15.925,24.25454545454545,53.51363636363637,False,1.8477272727272724,94.20454545454544,1.746000000000009,11.0,-0.1715833333333165
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,regulations_2026_reset,1.25,51,94.7715,93.427,98.2507027027027,0.0224444444444442,335.0,18.87058823529412,36.28627450980392,51.73529411764705,False,2.307843137254902,124.29411764705884,2.15000000000002,17.0,0.0096666666666749
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALO,Aston Martin,regulations_2026_reset,1.25,52,96.68083333333334,96.221,98.32426190476193,0.0103658536585365,329.0,18.865384615384613,36.2,51.6826923076923,False,2.267307692307692,120.9423076923077,4.059333333333356,20.0,-0.5639166666666711
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ANT,Mercedes,regulations_2026_reset,1.25,50,92.62149999999998,92.432,95.38506666666667,-0.0267499999999998,336.0,18.888,36.274,51.632,False,2.23,125.0,0.0,1.0,-0.1726666666666716
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BEA,Haas F1 Team,regulations_2026_reset,1.25,20,96.09166666666664,95.604,97.02233333333334,0.1763636363636374,341.0,18.935,37.11,50.335,False,2.49,125.4,3.470166666666671,19.0,0.852499999999992
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOR,Audi,regulations_2026_reset,1.25,52,94.44383333333332,94.164,97.30266666666668,-0.0338636363636362,338.0,18.88076923076923,36.23653846153846,51.73653846153847,False,2.315384615384616,123.28846153846152,1.8223333333333471,13.0,0.2531666666666723
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOT,Cadillac,regulations_2026_reset,1.25,51,96.68516666666666,96.269,98.62016279069768,-0.0529999999999999,336.0,18.88627450980392,36.25686274509804,51.70784313725491,False,2.1686274509803924,121.29411764705884,4.063666666666677,21.0,0.3906666666666751
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,COL,Alpine,regulations_2026_reset,1.25,52,94.7145,94.512,99.82490909090907,-0.0437906976744185,346.0,18.88076923076923,36.22115384615385,51.68076923076923,False,2.340384615384615,124.51923076923076,2.0930000000000035,15.0,0.4710833333333255
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,GAS,Alpine,regulations_2026_reset,1.25,52,93.77233333333334,93.691,96.36844444444444,-0.0387045454545455,331.0,18.87884615384615,36.27307692307692,51.64807692307692,False,2.176923076923077,121.32692307692308,1.1508333333333525,8.0,-0.4710833333333255
